log2_N,N,Init_T,FFT_T,RMS_T,Total_T
20,1048576,200969,191359,2019516,2411844
20,1048576,224966,191460,1738389,2154815
21,2097152,414939,386634,3498297,4299870
21,2097152,637691,395349,3713128,4746168
21,2097152,404042,385996,3491327,4281365
21,2097152,403411,386098,3480526,4270035
21,2097152,627466,385959,4067241,5080666
21,2097152,404602,386397,3984414,4775413
21,2097152,401233,386907,3711946,4500086
21,2097152,401441,386013,3482517,4269971
21,2097152,401739,386076,3710962,4498777
21,2097152,401641,385970,3480420,4268031
22,4194304,829130,777921,7199311,8806362
22,4194304,1114776,798838,8029469,9943083
22,4194304,855494,777927,7380611,9014032
22,4194304,944088,778594,7199174,8921856
22,4194304,806762,778351,7961179,9546292
22,4194304,864160,777977,7268622,8910759
22,4194304,805360,778735,7150178,8734273
22,4194304,803621,777926,7316797,8898344
22,4194304,996403,782388,8180218,9959009
22,4194304,807541,778239,7205057,8790837
REL_RMS_ERR for log2_N:8
3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,3.2734281314e-07,
REL_RMS_ERR for log2_N:9
4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,4.6010070299e-07,
REL_RMS_ERR for log2_N:10
5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,5.1854376866e-07,
REL_RMS_ERR for log2_N:11
5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,5.8646426228e-07,
REL_RMS_ERR for log2_N:12
7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,7.7554167027e-07,
REL_RMS_ERR for log2_N:13
8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,8.3203583293e-07,
REL_RMS_ERR for log2_N:14
9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,9.1672021234e-07,
REL_RMS_ERR for log2_N:15
9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,9.8091289038e-07,
REL_RMS_ERR for log2_N:16
1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,1.0291496772e-06,
REL_RMS_ERR for log2_N:17
1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,1.2626477403e-06,
REL_RMS_ERR for log2_N:18
1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,1.3216118027e-06,
REL_RMS_ERR for log2_N:19
1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,1.4184757995e-06,
REL_RMS_ERR for log2_N:20
1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,1.4800621824e-06,
REL_RMS_ERR for log2_N:21
1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,1.5163027000e-06,
REL_RMS_ERR for log2_N:22
1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,1.5380029591e-06,

