log2_N,N,Init_T,FFT_T,RMS_T,Total_T
8,256,306,80,590,976
8,256,157,26,457,640
8,256,140,26,447,613
8,256,142,26,444,612
8,256,141,26,444,611
8,256,139,26,516,681
8,256,143,26,447,616
8,256,140,25,444,609
8,256,140,26,444,610
8,256,139,26,445,610
9,512,227,57,960,1244
9,512,193,41,859,1093
9,512,184,39,857,1080
9,512,182,38,855,1075
9,512,178,40,856,1074
9,512,180,39,855,1074
9,512,184,40,855,1079
9,512,181,39,999,1219
9,512,181,41,858,1080
9,512,172,40,854,1066
10,1024,324,76,1681,2081
10,1024,265,58,1766,2089
10,1024,264,57,1674,1995
10,1024,261,57,1744,2062
10,1024,266,57,1838,2161
10,1024,272,59,1751,2082
10,1024,267,57,1672,1996
10,1024,258,59,1667,1984
10,1024,257,58,1736,2051
10,1024,267,58,1751,2076
11,2048,512,125,3464,4101
11,2048,437,105,3494,4036
11,2048,424,105,3496,4025
11,2048,427,106,3408,3941
11,2048,435,108,3483,4026
11,2048,436,106,3407,3949
11,2048,433,104,3559,4096
11,2048,436,105,3612,4153
11,2048,448,108,3317,3873
11,2048,424,104,3469,3997
12,4096,895,253,6725,7873
12,4096,875,237,6832,7944
12,4096,792,238,6772,7802
12,4096,789,235,6927,7951
12,4096,802,238,6769,7809
12,4096,781,234,7506,8521
12,4096,843,239,6704,7786
12,4096,773,234,6918,7925
12,4096,786,233,6949,7968
12,4096,840,239,6914,7993
13,8192,1826,616,13540,15982
13,8192,1731,604,13981,16316
13,8192,1680,601,13564,15845
13,8192,1781,608,13806,16195
13,8192,1685,598,13820,16103
13,8192,1655,601,13567,15823
13,8192,1664,603,14237,16504
13,8192,1661,647,13530,15838
13,8192,1712,600,13573,15885
13,8192,1622,599,16752,18973
14,16384,3192,1465,27382,32039
14,16384,3102,1377,27450,31929
14,16384,3165,1368,27872,32405
14,16384,3213,1256,27418,31887
14,16384,3056,1293,27251,31600
14,16384,3094,1370,27777,32241
14,16384,3389,1381,27307,32077
14,16384,3283,1267,27489,32039
14,16384,3201,1266,27277,31744
14,16384,3164,1297,27258,31719
15,32768,6746,3433,54436,64615
15,32768,6491,3563,54495,64549
15,32768,6244,3467,54875,64586
15,32768,6283,3441,54471,64195
15,32768,6239,3467,54740,64446
15,32768,6317,3509,54348,64174
15,32768,6222,3517,54366,64105
15,32768,19049,3488,114623,137160
15,32768,6543,3777,118971,129291
15,32768,6188,3984,113030,123202
16,65536,32799,6706,109101,148606
16,65536,12473,6700,109020,128193
16,65536,12446,6733,108634,127813
16,65536,12743,6747,109266,128756
16,65536,12417,6717,108957,128091
16,65536,12761,6710,108988,128459
16,65536,12553,6711,109743,129007
16,65536,12734,6665,108763,128162
16,65536,12550,6683,109194,128427
16,65536,12774,6697,108980,128451
17,131072,25970,16573,217818,260361
17,131072,25687,16616,217876,260179
17,131072,25914,16540,228900,271354
17,131072,27832,16567,217191,261590
17,131072,25223,16550,217243,259016
17,131072,25090,16587,217847,259524
17,131072,25115,16565,220401,262081
17,131072,25144,16562,312082,353788
17,131072,47570,16532,221843,285945
17,131072,61385,16651,286331,364367
18,262144,101397,43033,436465,580895
18,262144,51202,43062,531919,626183
18,262144,106790,44138,519922,670850
18,262144,50385,43054,433998,527437
18,262144,51856,43077,436648,531581
18,262144,53044,43109,435727,531880
18,262144,69257,43033,667358,779648
18,262144,50053,43040,436351,529444
18,262144,50724,43046,436305,530075
18,262144,50124,43047,435653,528824
19,524288,207556,103467,1147667,1458690
19,524288,100196,94868,868660,1063724
19,524288,100837,94829,920885,1116551
19,524288,100218,94817,868536,1063571
19,524288,100289,94932,870905,1066126
19,524288,100818,94794,869574,1065186
19,524288,100205,94842,872158,1067205
19,524288,101009,94795,873668,1069472
19,524288,100679,94790,870831,1066300
19,524288,101556,94890,1098962,1295408
20,1048576,206446,191567,1736200,2134213
20,1048576,202742,191430,1737545,2131717
20,1048576,201444,191164,1738971,2131579
20,1048576,202115,191192,1737880,2131187
20,1048576,201650,191289,2239325,2632264
20,1048576,244210,191705,2019452,2455367
20,1048576,200976,191393,1993720,2386089
20,1048576,201231,191394,2115357,2507982
